Round: 94 | Move: left  | Time spent: 3.40s | Reached depth: 4 | Max tile: 128 | state: [[32, 16, 4, 4], [128, 0, 2, 0], [8, 2, 0, 0], [4, 0, 0, 0]]
Round: 95 | Move: up    | Time spent: 2.13s | Reached depth: 4 | Max tile: 128 | state: [[32, 16, 8, 0], [128, 2, 2, 0], [8, 2, 0, 0], [4, 0, 0, 0]]
Round: 96 | Move: down  | Time spent: 1.32s | Reached depth: 4 | Max tile: 128 | state: [[32, 16, 8, 0], [128, 4, 2, 0], [8, 0, 0, 0], [4, 0, 2, 0]]
Round: 97 | Move: left  | Time spent: 1.84s | Reached depth: 4 | Max tile: 128 | state: [[32, 0, 0, 0], [128, 0, 2, 0], [8, 16, 8, 0], [4, 4, 4, 0]]
Round: 98 | Move: left  | Time spent: 1.71s | Reached depth: 4 | Max tile: 128 | state: [[32, 0, 0, 0], [128, 2, 0, 4], [8, 16, 8, 0], [8, 4, 0, 0]]
Round: 99 | Move: up    | Time spent: 3.05s | Reached depth: 4 | Max tile: 128 | state: [[32, 2, 0, 0], [128, 2, 4, 0], [8, 16, 8, 0], [8, 4, 0, 0]]
Round: 100 | Move: right | Time spent: 0.36s | Reached depth: 3 | Max tile: 128 | state: [[32, 4, 4, 0], [128, 16, 8, 0], [16, 4, 0, 0], [0, 0, 2, 0]]
Round: 101 | Move: up    | Time spent: 3.14s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 32, 8], [0, 128, 16, 8], [0, 2, 16, 4], [0, 0, 0, 2]]
Round: 102 | Move: left  | Time spent: 0.45s | Reached depth: 3 | Max tile: 128 | state: [[0, 128, 32, 16], [0, 2, 32, 4], [0, 0, 2, 2], [0, 0, 0, 0]]
Round: 103 | Move: up    | Time spent: 16.25s | Reached depth: 4 | Max tile: 128 | state: [[128, 32, 16, 0], [2, 32, 4, 2], [4, 0, 0, 0], [0, 0, 0, 0]]
Round: 104 | Move: left  | Time spent: 0.43s | Reached depth: 3 | Max tile: 128 | state: [[128, 64, 16, 2], [2, 0, 4, 0], [4, 0, 0, 0], [0, 0, 2, 0]]
Round: 105 | Move: right | Time spent: 0.36s | Reached depth: 3 | Max tile: 128 | state: [[128, 64, 16, 2], [2, 4, 0, 0], [4, 0, 0, 0], [2, 2, 0, 0]]
Round: 106 | Move: down  | Time spent: 5.87s | Reached depth: 4 | Max tile: 128 | state: [[128, 64, 16, 2], [0, 0, 2, 4], [0, 0, 0, 4], [0, 0, 2, 4]]
Round: 107 | Move: left  | Time spent: 0.39s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [0, 2, 16, 4], [128, 64, 4, 8]]
Round: 108 | Move: right | Time spent: 0.48s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [2, 0, 0, 0], [2, 16, 4, 2], [128, 64, 4, 8]]
Round: 109 | Move: right | Time spent: 0.92s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 0, 0], [2, 0, 0, 2], [2, 16, 4, 2], [128, 64, 4, 8]]
Round: 110 | Move: left  | Time spent: 0.41s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 0, 2, 4], [2, 16, 4, 2], [128, 64, 4, 8]]
Round: 111 | Move: left  | Time spent: 1.29s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 0, 0], [2, 4, 0, 4], [2, 16, 4, 2], [128, 64, 4, 8]]
Round: 112 | Move: right | Time spent: 1.31s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 0, 2], [2, 8, 0, 0], [2, 16, 4, 2], [128, 64, 4, 8]]
Round: 113 | Move: right | Time spent: 1.65s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 0, 2], [4, 0, 2, 8], [2, 16, 4, 2], [128, 64, 4, 8]]
Round: 114 | Move: down  | Time spent: 1.39s | Reached depth: 4 | Max tile: 128 | state: [[2, 0, 0, 2], [0, 4, 2, 8], [2, 16, 4, 2], [128, 64, 4, 8]]
Round: 115 | Move: left  | Time spent: 1.41s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 0, 2], [2, 4, 0, 8], [4, 16, 2, 2], [128, 64, 8, 8]]
Round: 116 | Move: down  | Time spent: 1.44s | Reached depth: 4 | Max tile: 128 | state: [[2, 0, 0, 0], [2, 4, 8, 2], [4, 16, 4, 0], [128, 64, 16, 0]]
Round: 117 | Move: right | Time spent: 2.25s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 0, 0], [4, 4, 8, 2], [4, 16, 4, 0], [128, 64, 16, 2]]
Round: 118 | Move: right | Time spent: 1.58s | Reached depth: 4 | Max tile: 128 | state: [[0, 2, 0, 0], [0, 8, 8, 2], [0, 4, 16, 4], [128, 64, 16, 2]]
Round: 119 | Move: down  | Time spent: 1.99s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 0, 2], [0, 2, 16, 2], [0, 4, 16, 4], [128, 64, 16, 2]]
Round: 120 | Move: down  | Time spent: 2.01s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 2, 2, 4], [0, 4, 16, 4], [128, 64, 32, 2]]
Round: 121 | Move: right | Time spent: 0.97s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 2, 2, 2], [0, 4, 16, 8], [128, 64, 32, 2]]
Round: 122 | Move: left  | Time spent: 1.88s | Reached depth: 4 | Max tile: 128 | state: [[2, 0, 0, 0], [0, 0, 2, 4], [0, 4, 16, 8], [128, 64, 32, 2]]
Round: 123 | Move: right | Time spent: 1.88s | Reached depth: 4 | Max tile: 128 | state: [[2, 0, 2, 0], [2, 4, 0, 0], [4, 16, 8, 0], [128, 64, 32, 2]]
Round: 124 | Move: down  | Time spent: 14.10s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 2, 4], [0, 0, 2, 4], [0, 4, 16, 8], [128, 64, 32, 2]]
