Round: 126 | Move: right | Time spent: 0.17s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 2], [2, 0, 2, 4], [0, 0, 32, 4], [128, 64, 32, 4]]
Round: 127 | Move: right | Time spent: 0.19s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 2], [2, 0, 4, 4], [0, 0, 32, 4], [128, 64, 32, 4]]
Round: 128 | Move: down  | Time spent: 0.31s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 0, 2], [0, 0, 2, 8], [0, 0, 32, 4], [128, 64, 32, 4]]
Round: 129 | Move: left  | Time spent: 0.26s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 0, 0], [0, 0, 0, 2], [0, 2, 2, 8], [128, 64, 64, 8]]
Round: 130 | Move: down  | Time spent: 0.52s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 0, 0], [2, 0, 0, 2], [4, 8, 0, 0], [128, 128, 8, 0]]
Round: 131 | Move: down  | Time spent: 0.21s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [4, 4, 0, 0], [4, 8, 0, 0], [128, 128, 8, 2]]
Round: 132 | Move: down  | Time spent: 0.20s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 4, 0, 2], [8, 8, 0, 0], [128, 128, 8, 2]]
Round: 133 | Move: left  | Time spent: 0.36s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 0, 0], [0, 4, 0, 0], [8, 8, 0, 0], [128, 128, 8, 4]]
Round: 134 | Move: up    | Time spent: 0.34s | Reached depth: 3 | Max tile: 256 | state: [[2, 2, 0, 0], [4, 0, 0, 0], [16, 0, 0, 0], [256, 8, 4, 0]]
Round: 135 | Move: up    | Time spent: 0.19s | Reached depth: 3 | Max tile: 256 | state: [[2, 2, 4, 0], [4, 8, 0, 0], [16, 0, 0, 0], [256, 0, 2, 0]]
Round: 136 | Move: up    | Time spent: 1.66s | Reached depth: 3 | Max tile: 256 | state: [[2, 2, 4, 0], [4, 8, 2, 0], [16, 0, 0, 2], [256, 0, 0, 0]]
Round: 137 | Move: right | Time spent: 0.44s | Reached depth: 3 | Max tile: 256 | state: [[2, 2, 4, 2], [4, 8, 2, 0], [16, 0, 2, 0], [256, 0, 0, 0]]
Round: 138 | Move: down  | Time spent: 0.40s | Reached depth: 3 | Max tile: 256 | state: [[0, 4, 4, 2], [2, 4, 8, 2], [0, 0, 16, 2], [0, 0, 0, 256]]
Round: 139 | Move: right | Time spent: 0.23s | Reached depth: 3 | Max tile: 256 | state: [[2, 0, 0, 0], [0, 0, 4, 2], [0, 0, 8, 4], [2, 8, 16, 256]]
Round: 140 | Move: down  | Time spent: 0.47s | Reached depth: 3 | Max tile: 256 | state: [[0, 0, 0, 2], [0, 0, 4, 2], [2, 0, 8, 4], [2, 8, 16, 256]]
Round: 141 | Move: down  | Time spent: 0.26s | Reached depth: 3 | Max tile: 256 | state: [[0, 0, 0, 0], [2, 0, 4, 4], [0, 0, 8, 4], [4, 8, 16, 256]]
Round: 142 | Move: down  | Time spent: 0.17s | Reached depth: 3 | Max tile: 256 | state: [[0, 0, 0, 0], [2, 0, 4, 0], [2, 0, 8, 8], [4, 8, 16, 256]]
Round: 143 | Move: left  | Time spent: 1.72s | Reached depth: 3 | Max tile: 256 | state: [[0, 0, 0, 0], [0, 0, 4, 0], [4, 2, 8, 8], [4, 8, 16, 256]]
Round: 144 | Move: up    | Time spent: 0.54s | Reached depth: 3 | Max tile: 256 | state: [[2, 0, 0, 0], [4, 0, 0, 0], [4, 2, 16, 0], [4, 8, 16, 256]]
Round: 145 | Move: right | Time spent: 0.44s | Reached depth: 3 | Max tile: 256 | state: [[2, 2, 32, 256], [8, 8, 0, 2], [4, 0, 0, 0], [0, 0, 0, 0]]
Round: 146 | Move: down  | Time spent: 0.07s | Reached depth: 3 | Max tile: 256 | state: [[0, 4, 32, 256], [0, 0, 16, 2], [0, 0, 2, 4], [0, 0, 0, 0]]
