Round: 228 | Move: down  | Time spent: 2.72s | Reached depth: 4
Round: 229 | Move: down  | Time spent: 0.85s | Reached depth: 4
Round: 230 | Move: right | Time spent: 0.56s | Reached depth: 4
Round: 231 | Move: down  | Time spent: 0.52s | Reached depth: 4
Round: 232 | Move: right | Time spent: 0.61s | Reached depth: 4
Round: 233 | Move: right | Time spent: 1.26s | Reached depth: 5
Round: 234 | Move: down  | Time spent: 1.09s | Reached depth: 5
Round: 235 | Move: up    | Time spent: 0.41s | Reached depth: 4
Round: 236 | Move: down  | Time spent: 2.22s | Reached depth: 5
Round: 237 | Move: right | Time spent: 1.58s | Reached depth: 5
Round: 238 | Move: down  | Time spent: 0.38s | Reached depth: 4
Round: 239 | Move: right | Time spent: 0.76s | Reached depth: 4
Round: 240 | Move: right | Time spent: 0.40s | Reached depth: 4
Round: 241 | Move: right | Time spent: 0.59s | Reached depth: 4
Round: 242 | Move: down  | Time spent: 0.60s | Reached depth: 4
Round: 243 | Move: left  | Time spent: 0.80s | Reached depth: 4
Round: 244 | Move: right | Time spent: 0.76s | Reached depth: 4
Round: 245 | Move: right | Time spent: 0.47s | Reached depth: 4
Round: 246 | Move: up    | Time spent: 2.81s | Reached depth: 5
Round: 247 | Move: down  | Time spent: 1.07s | Reached depth: 5
Round: 248 | Move: right | Time spent: 0.32s | Reached depth: 4
Round: 249 | Move: up    | Time spent: 1.90s | Reached depth: 5
Round: 250 | Move: down  | Time spent: 0.46s | Reached depth: 4
Round: 251 | Move: right | Time spent: 0.37s | Reached depth: 4
Round: 252 | Move: down  | Time spent: 0.37s | Reached depth: 4
Round: 253 | Move: up    | Time spent: 0.84s | Reached depth: 5
Round: 254 | Move: down  | Time spent: 1.72s | Reached depth: 5
Round: 255 | Move: right | Time spent: 0.33s | Reached depth: 4
Round: 256 | Move: right | Time spent: 0.77s | Reached depth: 4
Round: 257 | Move: left  | Time spent: 0.83s | Reached depth: 4
Round: 258 | Move: right | Time spent: 0.59s | Reached depth: 4
Round: 259 | Move: down  | Time spent: 0.89s | Reached depth: 4
Round: 260 | Move: right | Time spent: 0.41s | Reached depth: 3
Round: 261 | Move: down  | Time spent: 0.37s | Reached depth: 3
Round: 262 | Move: down  | Time spent: 3.19s | Reached depth: 4
Round: 263 | Move: right | Time spent: 3.61s | Reached depth: 4
Round: 264 | Move: up    | Time spent: 4.05s | Reached depth: 4
Round: 265 | Move: right | Time spent: 0.40s | Reached depth: 3
Round: 266 | Move: up    | Time spent: 0.40s | Reached depth: 3
Round: 267 | Move: right | Time spent: 0.82s | Reached depth: 3
Round: 268 | Move: right | Time spent: 2.95s | Reached depth: 4
Round: 269 | Move: left  | Time spent: 0.49s | Reached depth: 3
Round: 270 | Move: down  | Time spent: 0.86s | Reached depth: 4
Round: 271 | Move: down  | Time spent: 0.86s | Reached depth: 4
Round: 272 | Move: right | Time spent: 0.32s | Reached depth: 3
Round: 273 | Move: down  | Time spent: 2.43s | Reached depth: 4
